year,GDP,EC,O_P,SPE
1949,1843106.42,23188436,26.74,432.94
1950,2004257.64,25106134,26.46,480.39
1951,2159241.34,26819987,24.53,483.66
1952,2241884.62,26263244,23.98,625.62
1953,2345288.74,26890640,25.03,681.04
1954,2330314.91,25603986,25.59,682.63
1955,2498162.76,28148704,25.11,667.53
1956,2547629.59,28985768,24.88,675.01
1957,2598810.66,28829838,25.67,707.75
1958,2575494.79,28328432,23.89,743.33
1959,2760158,29491536,23.65,794.77
1960,2828487,30283316,22.64,813.6
1961,2894415.81,30518655,21.91,876.43
1962,3069797.67,31724745,21.65,889.13
1963,3203983.2,32936752,21.85,920.55
1964,3389371.81,34400240,22.23,966.7
1965,3607117.78,35741681,21.94,973.36
1966,3842025.17,37556447,21.95,1055.54
1967,3939076.33,38514158,21.5,1174.94
1968,4129830.69,40616981,20.98,1259.31
1969,4258103.72,42240340,20.81,1281.86
1970,4266274.96,43320117,20.08,1323.55
1971,4409552.32,43771010,20.43,1389.6
1972,4643752.11,45636567,19.79,1457.7
1973,4912812.77,47727882,24.39,1464.24
1974,4885799.93,46086014,43.51,1477.99
1975,4875413.06,43690503,52.11,1640.3
1976,5136921.08,46103412,52.92,1747.84
1977,5373130.77,47195081,54.58,1769.93
1978,5672714.23,48011002,52.7,1817.95
1979,5850102.74,48932066,78.73,1849.23
1980,5834033.6,46393941,104.49,1969.1
1981,5982087.24,44648906,90.49,2014.03
1982,5865944.21,41990653,75.86,2128.46
1983,6130933.88,41537931,67.12,2228.35
1984,6571534.85,43794477,63.62,2265.17
1985,6843431.56,43229965,57.51,2430.01
1986,7080482.93,43527362,30.26,2530.62
1987,7307045.77,45137388,35.9,2566.27
1988,7607347.19,47082738,28.94,2644.24
1989,7879250.33,47310564,33.97,2754.87
1990,8027077.86,47437317,40.67,2893.13
1991,8008251.36,46824896,34.09,2983.27
1992,8279989.03,48075049,31.53,3069.66
1993,8516221.74,48413807,26.66,3094.71
1994,8863097.32,49661516,24.27,3138.65
1995,9085918.93,50549628,25.26,3231.35
1996,9425866.11,52043051,29.96,3272.77
1997,9845868.98,52630334,26.69,3327.26
1998,10274695.04,52315561,16.8,3418.49
1999,10770691.6,52837121,22.79,3518.91
2000,11216349.76,53525625,36.54,3654.85
2001,11337492.7,52061440,29.86,3782.19
2002,11543142.87,52680407,29.12,4010.46
2003,11836417.91,52655543,34.6,4179.68
2004,12246868.35,54308755,45.78,4268.95
2005,12622959,53685737,58.83,4397.1
2006,12958525.06,53957409,66.45,4550.8
2007,13206317.6,54332015,71.03,4634.67
2008,13161981.73,52432125,97.33,4888.3
2009,12757973.69,49802370,57.18,5415.8
2010,13062915.68,51590122,75.05,5333.77
