lizard,veg,temp,site,visit
0,0.874,-0.571,1,1
3,0.499,0.629,2,1
3,0.273,0.424,3,1
1,0.639,0.239,4,1
1,0.72,-0.314,5,1
0,0.402,-0.771,6,1
3,0.081,0.627,7,1
3,-0.655,-0.567,8,1
2,-0.228,0.088,9,1
5,-0.502,0.845,10,1
3,-0.752,-0.037,11,1
1,0,-0.279,12,1
1,0.652,0.891,13,1
2,-0.257,-0.333,14,1
0,0.041,-0.836,15,1
4,-0.818,0.418,16,1
4,-0.179,0.112,17,1
2,-0.89,-0.108,18,1
7,-0.647,0.949,19,1
7,-0.375,0.667,20,1
3,0.906,0.358,21,1
0,0.456,0.089,22,1
3,0.054,0.57,23,1
3,0.223,0.574,24,1
4,-0.084,-0.018,25,1
1,0.401,0.327,26,1
0,-0.677,-0.629,27,1
3,-0.623,-0.16,28,1
3,-0.215,0.058,29,1
0,0.811,0.208,30,1
2,0.947,0.601,31,1
0,0.569,-0.666,32,1
0,0.968,0.319,33,1
2,-0.23,-0.066,34,1
3,-0.831,-0.189,35,1
0,0.021,-0.123,36,1
0,-0.046,0.315,37,1
0,-0.53,-0.232,38,1
0,-0.663,-0.203,39,1
5,-0.267,0.818,40,1
3,-0.402,0.571,41,1
1,-0.672,0.333,42,1
1,-0.391,0.335,43,1
3,0.67,0.964,44,1
2,-0.692,0.368,45,1
2,0.505,0.405,46,1
1,-0.68,0.51,47,1
1,-0.271,0.009,48,1
4,-0.694,0.974,49,1
2,-0.094,0.856,50,1
1,0.501,-0.056,51,1
0,0.329,-0.181,52,1
0,0.246,-0.705,53,1
7,0.033,0.789,54,1
4,0.544,0.704,55,1
6,-0.308,0.843,56,1
0,-0.555,-0.396,57,1
1,0.924,-0.063,58,1
7,-0.978,0.735,59,1
6,-0.311,0.956,60,1
1,-0.984,0.619,61,1
1,0.402,-0.649,62,1
0,0.04,0.036,63,1
2,-0.849,0.697,64,1
0,0.326,-0.647,65,1
0,0.023,-0.656,66,1
1,-0.039,-0.381,67,1
4,0.164,0.798,68,1
1,0.779,0,69,1
0,0.307,-0.917,70,1
1,0.38,-0.075,71,1
0,0.142,-0.92,72,1
6,-0.077,0.715,73,1
2,-0.228,0.365,74,1
4,-0.152,-0.061,75,1
3,-0.07,0.551,76,1
0,-0.004,-0.489,77,1
0,0.614,-0.567,78,1
2,0.824,0.62,79,1
3,-0.73,-0.321,80,1
3,-0.794,0.218,81,1
3,-0.139,0.308,82,1
7,-0.161,0.847,83,1
3,-0.756,0.621,84,1
4,-0.707,-0.18,85,1
1,-0.762,-0.506,86,1
2,0.43,0.763,87,1
1,-0.806,0.946,88,1
4,0.909,0.827,89,1
4,0.401,0.689,90,1
5,0.404,0.936,91,1
1,-0.641,-0.605,92,1
2,-0.229,-0.06,93,1
1,-0.206,0.167,94,1
3,0.826,0.57,95,1
1,0.754,0.801,96,1
2,0.181,0.015,97,1
2,-0.565,-0.731,98,1
2,-0.308,0.717,99,1
1,0.201,-0.128,100,1
2,-0.28,-0.107,101,1
2,-0.559,0.373,102,1
6,-0.736,0.446,103,1
0,-0.387,-0.427,104,1
0,-0.997,0.262,105,1
1,0.761,0.107,106,1
2,-0.856,0.087,107,1
2,0.285,-0.86,108,1
5,-0.835,0.034,109,1
0,0.677,0.106,110,1
2,-0.923,0.38,111,1
5,-0.105,0.65,112,1
0,0.945,-0.1,113,1
3,0.36,0.497,114,1
2,-0.955,-0.422,115,1
6,-0.537,0.083,116,1
7,-0.226,0.919,117,1
0,0.315,0.016,118,1
1,0.162,-0.406,119,1
3,-0.892,0.441,120,1
0,0.058,-0.678,121,1
0,0.983,-0.122,122,1
1,-0.971,-0.498,123,1
1,0.523,-0.51,124,1
1,0.201,0.692,125,1
2,-0.61,-0.751,126,1
0,0.092,-0.789,127,1
3,-0.187,0.841,128,1
1,-0.181,-0.096,129,1
3,0.251,0.548,130,1
6,0.013,0.506,131,1
4,-0.795,-0.204,132,1
2,-0.749,-0.37,133,1
1,-0.629,-0.826,134,1
1,-0.228,-0.655,135,1
4,-0.749,-0.409,136,1
0,0.344,-0.088,137,1
3,0.469,-0.079,138,1
0,0.946,-0.715,139,1
1,0.515,-0.024,140,1
