,YEAR,no_,DAT_KI,Sex,LE,CHLSCON,lat,lon,m4,v4,g3,g5,m3,v3,m5,v5,NewStatus,Sel,Sig,SelP,SigP,NeuphA,NeuphS,NeuphP,E4,E5,E6,E7,E8,E9,NchypA,NchypS,NchypP,CH4,CH5,CH6,CH7,CH8,CH9,NcglaA,NcglaS,NcglaP,CG4,CG5,CG6,CG7,CG8,CG9,NcfinA,NcfinS,NcfinP,CF4,CF5,CF6,CF7,CF8,CF9
1,1967,67188,670714,2,19.5072,9,65.1,28.8,65,90,NA,NA,NA,NA,NA,NA,1,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
2,1967,67204,670717,2,18.8976,5.1,65.1,28.8,70,120,NA,NA,NA,NA,NA,NA,1,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
3,1967,67208,670718,2,20.7264,5.3,65.1,27.8,55,95,NA,NA,NA,NA,NA,NA,1,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
4,1967,67278,670806,2,22.2504,5.2,64.9,29.8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
5,1967,67297,670812,2,17.9832,4,64.9,27.2,45,55,NA,NA,NA,NA,NA,NA,0,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
6,1967,67181,670712,2,19.812,4,65.1,28.2,NA,100,NA,NA,NA,NA,NA,NA,0,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
7,1967,67242,670727,2,19.5072,5.3,65.6,28.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
8,1967,67276,670805,2,17.3736,9,65.4,30.2,70,90,NA,NA,NA,NA,NA,NA,1,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
9,1967,67198,670716,2,19.2024,6.4,65.1,28.2,40,65,NA,NA,NA,NA,NA,NA,0,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
10,1967,67199,670717,2,19.812,5.2,65.1,28.2,65,80,NA,NA,NA,NA,NA,NA,1,NA,0.476,NA,0.714,4.414993673,7.543222641,6.541180124,9.210526316,8,9.8,10.10714286,4.166666667,3.975,0.201455027,0.402910053,0.027619048,0,2.388888889,0.028571429,0,0,0,0.014583333,0.029166667,0.069565217,0,0,0,0,0,0.175,26.77435317,50.58500419,56.10513458,18.10526316,113.0555556,88.02857143,58.89285714,16.77777778,8.65
